brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Clairefontaine	DIN A3 (297 x 420 mm)	blau	500	80	7.997215299999999	11.837065696716309
Océ	DIN A4 (210 x 297 mm)	weiss	500	100	8.467856	26.746732711791992
Papier Union	unknown	blauviolett	100	120	21.141748	18.94569206237793
Mondi	DIN A4 (210 x 297 mm)	weiss	250	160	7.6410865999999995	9.874188423156738
Xerox	DIN A4 (210 x 297 mm)	weiss	250	170	9.774999000000001	9.763472557067871
Epson	DIN A3 (297 x 420 mm)	weiss	250	103	139.08788	50.994873046875
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	4.2057459999999995	9.780723571777344
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	3.8095653	7.290247440338135
Xerox	DIN A4 (210 x 297 mm)	weiss	500	80	3.7919843	8.387626647949219
HP	unknown	unknown	unknown	unknown	66.00286	75.6474609375
Portucel Soporcel	DIN A4 (210 x 297 mm)	weiss	2500	75	8.4897995	20.244827270507812
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	80	4.65375	7.962069988250732
Papier Union	unknown	perlgrau	100	320	67.123215	8.115405082702637
Staufen	DIN A4 (210 x 297 mm)	orange	25	160	1.8760976000000003	2.4918251037597656
Michaelis	DIN A3 (297 x 420 mm)	gruen	500	80	14.45	13.792112350463867
Brunnen Baier & Schneider	DIN A4 (210 x 297 mm)	rot	25	160	3.6408336	2.2071971893310547
Multicopy	unknown	unknown	unknown	unknown	6.673694	9.34935474395752
Staples	DIN A4 (210 x 297 mm)	weiss	500	80	4.853107	265.52001953125
Papier Union	unknown	rotorange	100	90	2.9515	23.33146095275879
Multicopy	DIN A4 (210 x 297 mm)	weiss	2500	80	14.410001000000001	20.851900100708008
Lyreco	DIN A4 (210 x 297 mm)	unknown	500	80	4.48	6.1664204597473145
Michaelis	DIN A3 (297 x 420 mm)	rosa	500	80	14.45	32.35417175292969
Papyrus	DIN A4 (210 x 297 mm)	weiss	5000	80	21.72835	28.013309478759766
Clairefontaine	unknown	rot	500	80	14.228809	13.270806312561035
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	250	120	14.492307	9.996941566467285
Clairefontaine	DIN A4 (210 x 297 mm)	kanariengelb	500	80	18.27746	9.848965644836426
Hansa Papier	DIN A4 (210 x 297 mm)	rot	250	120	7.283603	5.366886138916016
