brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Image	DIN A4 (210 x 297 mm)	weiss	500	100	6.9916673	9.30827522277832
Clairefontaine	unknown	gelb	250	120	19.961308	14.953253746032715
Arjowiggins	unknown	aqua	100	120	3.1242504	8.99807357788086
HP	unknown	unknown	unknown	unknown	130.55	75.08660125732422
Clairefontaine	DIN SRA3 (320 x 450 mm)	weiss	500	90	12.235502	9.636800765991211
Evolve	DIN A4 (210 x 297 mm)	weiss	500	80	4.0442476	60.30853271484375
Papier Union	unknown	californiablau	100	120	27.005746999999996	11.021332740783691
Clairefontaine	DIN A4 (210 x 297 mm)	violett	250	210	11.8125	21.650466918945312
Clairefontaine	DIN A4 (210 x 297 mm)	elfenbein	250	120	3.9716659	9.016425132751465
Mondi	DIN A4 (210 x 297 mm)	weiss	250	200	17.42	11.320188522338867
Portucel Soporcel	DIN A3 (297 x 420 mm)	unknown	500	80	8.724776	12.645339965820312
Avery Zweckform	unknown	unknown	unknown	unknown	10.41	11.28759479522705
Mondi	DIN A4 (210 x 297 mm)	unknown	500	90	6.711802499999999	7.493363380432129
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	4.412858	7.372062683105469
Papyrus	DIN A3 (297 x 420 mm)	unknown	500	80	8.174197	9.325440406799316
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	80	4.7658324	8.097865104675293
Papier Union	unknown	californiablau	100	170	4.6460013	15.979264259338379
Clairefontaine	DIN A3 (297 x 420 mm)	hellblau	500	80	9.047084	16.419132232666016
Unbekannt	DIN A4 (210 x 297 mm)	hochweiss	100000	80	7.415209299999999	34.236656188964844
Unbekannt	DIN A5 (148 x 210 mm)	weiss	500	80	3.6080334	4.28652286529541
Papier Union	unknown	californiablau	100	90	20.423498000000002	2.7116425037384033
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	90	4.27265	9.158783912658691
Portucel Soporcel	DIN A3 (297 x 420 mm)	unknown	500	75	6.498889	9.715380668640137
Trophee	DIN A4 (210 x 297 mm)	unknown	500	80	8.029444999999999	15.97748851776123
Unbekannt	DIN A4 (210 x 297 mm)	unknown	500	80	2.9476337000000004	5.023734092712402
Trophee	DIN A4 (210 x 297 mm)	unknown	500	80	7.872855	15.97748851776123
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	125	300	5.774038	7.9329142570495605
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	250	160	8.716999000000001	16.160947799682617
Clairefontaine	DIN A4 (210 x 297 mm)	sand	50	160	3.8417792	4.429996490478516
Papier Union	unknown	goldgelb	100	170	38.065422	21.566875457763672
Clairefontaine	DIN A3 (297 x 420 mm)	karamell	500	80	9.084583	9.742500305175781
Staples	DIN A4 (210 x 297 mm)	rosa	250	120	4.906817	4.755435943603516
Staples	DIN A3 (297 x 420 mm)	rosa	500	80	11.234783	12.996068000793457
CreativPapier	DIN A4 (210 x 297 mm)	weiss	1000	40	19.717497	135.8368682861328
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	250	160	5.2625003	9.072511672973633
TOP-Preis	DIN A4 (210 x 297 mm)	gelb	250	120	7.244216000000001	5.617736339569092
Mondi	DIN SRA3 (320 x 450 mm)	weiss	250	170	19.868887	20.636920928955078
Arjowiggins	unknown	vanille	100	240	22.413006	11.198829650878906
Pro Office	DIN A4 (210 x 297 mm)	weiss	500	75	4.1977773	3.204913377761841
Mondi	DIN A3 (297 x 420 mm)	weiss	500	80	299.29967999999997	10.035004615783691
Mondi	unknown	unknown	500	80	4.6233335	8.628579139709473
Arjowiggins	unknown	elfenbein	100	240	22.427254	11.252962112426758
HP	unknown	unknown	unknown	unknown	3.377124	75.08660125732422
Mondi	DIN A3 (297 x 420 mm)	weiss	250	135	41.028496000000004	12.523869514465332
Papyrus	DIN A3 (297 x 420 mm)	hellgrau	500	80	10.722499000000001	11.695459365844727
Papier Union	unknown	braun	100	170	58.897045	18.122243881225586
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	120	4.766548	5.223640441894531
Trophée Color	unknown	violett	500	80	15.876057000000001	11.627469062805176
Xerox	DIN A3 (297 x 420 mm)	weiss	500	75	6.9533320000000005	7.456916809082031
Clairefontaine	DIN A4 (210 x 297 mm)	blau	250	120	6.2730365	14.511831283569336
Papier Union	unknown	goldgelb	100	90	2.57025	21.20100975036621
Staples	DIN A3 (297 x 420 mm)	goldgelb	500	80	9.582355	9.934959411621094
Papyrus	DIN A4 (210 x 297 mm)	rot	250	120	6.700366000000001	8.971029281616211
Xerox	DIN A4 (210 x 297 mm)	unknown	unknown	80	6.1575003	139.09498596191406
Papier Union	unknown	unknown	unknown	unknown	15.566747	47.19144058227539
Papier Union	unknown	dunkelbraun	100	320	24.852504999999997	61.16497039794922
Papier Union	unknown	dunkelbraun	100	170	13.867	32.53971862792969
Staples	DIN A4 (210 x 297 mm)	weiss	25	270	7.4162836	7.822195053100586
Arjowiggins	unknown	vanille	100	90	9.437750999999999	4.480247497558594
Mondi	DIN A4 (210 x 297 mm)	weiss	500	80	4.4808693	39.08479309082031
Clairefontaine	DIN A3 (297 x 420 mm)	kamel	500	80	11.640001	12.38852596282959
Clairefontaine	unknown	orange	250	160	11.344316000000001	13.727187156677246
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	500	90	8.971381	6.928544044494629
Clairefontaine	DIN A4 (210 x 297 mm)	grau	500	80	4.7866664000000005	7.990179061889648
CreativPapier	DIN A3 (297 x 420 mm)	weiss	50	120	18.934444	39.654090881347656
Freytag & Petersen	DIN A4 (210 x 297 mm)	weiss	2000	120	32.011475	16.402477264404297
HP	DIN A4 (210 x 297 mm)	unknown	500	80	5.052	16.313194274902344
Corona	DIN A4 (210 x 297 mm)	unknown	500	80	7.6728225000000005	6.235773086547852
Unbekannt	unknown	kanariengelb	500	80	17.788723	16.960533142089844
Papyrus	DIN A4 (210 x 297 mm)	weiss	2500	80	38.322212	22.458316802978516
Navigator Papier	DIN A4 (210 x 297 mm)	unknown	250	160	7.488678	5.7025628089904785
Papier Union	unknown	unknown	unknown	unknown	8.053248	47.19144058227539
Portucel Soporcel	DIN A3 (297 x 420 mm)	weiss	500	100	12.057325	16.06976318359375
Rainbow	unknown	hellblau	500	unknown	11.698666000000001	4.251585960388184
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	100	6.4604163	6.743414402008057
Clairefontaine	DIN A4 (210 x 297 mm)	unknown	50	120	5.1312647	5.249596118927002
Neutraler Lieferant	DIN A4 (210 x 297 mm)	weiss	500	80	2.6119497000000003	55.67737579345703
Soennecken	DIN A5 (148 x 210 mm)	weiss	1000	120	21.323057000000002	9.421709060668945
Papyrus	DIN A4 (210 x 297 mm)	grau	250	160	5.9600005	7.060986518859863
Clairefontaine	DIN A3 (297 x 420 mm)	goldgelb	250	120	10.723753	8.82213306427002
Arjowiggins	unknown	unknown	100	240	22.409754	23.879974365234375
Mondi	DIN A3 (297 x 420 mm)	unknown	500	90	15.642966	18.076011657714844
Papier Union	unknown	hellblau	100	170	4.32475	35.52743911743164
Xerox	DIN A3 (297 x 420 mm)	weiss	250	300	27.074583	27.99578285217285
HP	DIN A4 (210 x 297 mm)	weiss	500	90	6.044664	7.619007587432861
Unbekannt	DIN A4 (210 x 297 mm)	korallenrot	500	80	7.5748835	6.403302192687988
Mondi	unknown	weiss	500	100	23.624325	17.79400062561035
HP	DIN A3 (297 x 420 mm)	unknown	100	120	38.222190000000005	28.079896926879883
projectiondesign	DIN A3 (297 x 420 mm)	weiss	250	160	17.067520000000002	15.746755599975586
Steinbeis Papier	DIN A4 (210 x 297 mm)	weiss	500	80	9.75	4.7570905685424805
Clairefontaine	unknown	gelb	500	80	10.763010000000001	11.253036499023438
Arjowiggins	unknown	ziegelrot	100	170	8.905502	19.653284072875977
Igepa	DIN A4 (210 x 297 mm)	weiss	500	70	7.0216985	4.705752849578857
Multicopy	DIN A3 (297 x 420 mm)	weiss	500	80	9.6387825	16.127302169799805
Mondi	DIN A4 (210 x 297 mm)	gruen	500	80	7.5224338	6.786015510559082
Data Copy	DIN A5 (148 x 210 mm)	weiss	500	80	2.9299996	3.9670534133911133
Mondi	DIN A3 (297 x 420 mm)	weiss	500	80	10.245467	10.035004615783691
Staples	DIN A3 (297 x 420 mm)	mittelblau	500	80	9.633858	9.956598281860352
Mondi	unknown	wasserblau	250	160	9.749175	16.99239730834961
Clairefontaine	DIN A4 (210 x 297 mm)	blau	100	80	2.6517463	4.005444526672363
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	100	200	14.620885000000001	22.78579330444336
