set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
15171496,4.457894,Clairefontaine,DIN A4 (210 x 297 mm),weiss,125,210
14352829,14.685737,Mondi,unknown,weiss,125,250
3926283,11.669999,Clairefontaine,DIN A3 (297 x 420 mm),weiss,250,210
269540,3.57278,Clairefontaine,DIN A4 (210 x 297 mm),sand,100,80
1167625,4.769587,5 Star,DIN A4 (210 x 297 mm),weiss,500,80
5810902,14.836343,Mondi,DIN A3 (297 x 420 mm),weiss,500,90
14592519,16.53847,Clairefontaine,DIN A4 (210 x 297 mm),rosa,250,160
13309419,5.840833,Clairefontaine,DIN A4 (210 x 297 mm),korallenrot,500,80
3209732,2.1075,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),hellgelb,35,120
12640229,6.3441057,Papyrus,DIN A4 (210 x 297 mm),mittelgruen,250,120
407614,11.621497,Arjowiggins,unknown,hellblau,100,120
7511168,4.130946,Discovery,DIN A4 (210 x 297 mm),weiss,500,75
10591028,22.216751,Papier Union,unknown,weiss,100,400
8830954,6.1532516,Staples,DIN A4 (210 x 297 mm),rot,250,160
14444710,15.777778,Mondi,DIN SRA3 (320 x 450 mm),weiss,250,135
9090218,30.912565,Unbekannt,DIN A4 (210 x 297 mm),weiss,5000,80
4668023,7.870691,Mondi,DIN A4 (210 x 297 mm),weiss,250,160
10801410,9.684696,Pioneer Electronics,DIN A3 (297 x 420 mm),weiss,500,80
11435494,174.0,Papyrus,unknown,weiss,4000,100
4751369,19.815771,Clairefontaine,unknown,gruen,500,80
15595489,7.0431046,Mondi,DIN A4 (210 x 297 mm),rot,250,160
7457272,9.909748,Papier Union,unknown,kirschrot,100,120
9330491,14.781099,Inapa,DIN A3 (297 x 420 mm),weiss,250,160
5645924,10.24981,Portucel Soporcel,DIN A3 (297 x 420 mm),unknown,500,80
10472651,4.280811,Corona,DIN A6 (105 x 148 mm),weiss,500,80
10867222,5.350615,Papier Union,DIN A4 (210 x 297 mm),weiss,500,80
8457813,4.6073914,Clairefontaine,DIN A4 (210 x 297 mm),weiss,500,60
5765069,1.8756095,Staufen,DIN A4 (210 x 297 mm),weiss,80,80
2367105,576.4295,Schaefer Group,DIN A4 (210 x 297 mm),weiss,2500,80
2481730,7.996152,UPM,DIN A4 (210 x 297 mm),weiss,500,80
10591015,48.95229,Papier Union,unknown,unknown,100,400
3710174,5.416592,Staples,DIN A4 (210 x 297 mm),blau,250,160
9632818,3.7544417,Unbekannt,DIN A4 (210 x 297 mm),weiss,500,80
6097322,3.6233337,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),rosa,35,90
761941,9.539593,Mondi,DIN A3 (297 x 420 mm),unknown,250,120
5724550,12.71025,Avery Zweckform,DIN A4 (210 x 297 mm),weiss,25,200
8975122,31.60817,HP,DIN A4 (210 x 297 mm),weiss,5000,80
10460687,60.80206,Papier Union,unknown,rotorange,100,240
9330484,12.419999,Mondi,DIN A3 (297 x 420 mm),weiss,250,135
1407879,19.843752,Papier Union,unknown,ziegelrot,100,320
14301260,11.974927,Igepa,DIN A3 (297 x 420 mm),hellgruen,500,80
8671841,5.1492877,Lyreco,DIN A4 (210 x 297 mm),gelb,500,80
250912,13.017083,Xerox,DIN A4 (210 x 297 mm),weiss,250,200
4018743,9.5475,HP,DIN A4 (210 x 297 mm),weiss,250,250
16047202,14.45,Michaelis,DIN A3 (297 x 420 mm),blau,500,80
14321729,11.2975,Clairefontaine,DIN A3 (297 x 420 mm),blau,250,120
9488786,9.44,Portucel Soporcel,DIN A3 (297 x 420 mm),weiss,500,80
6480656,3.2116668,Inapa,DIN A4 (210 x 297 mm),weiss,500,80
